X1SES,stX1HHNUMBER,stX1PAREDU,Cluster
-0.2813,1.899867449,-0.889376325,2
-0.231,-0.275093538,0.56643276,0
-0.5803,1.174880454,-0.889376325,2
2.1586,-1.000080533,2.022241846,0
0.0865,-1.725067529,-0.889376325,2
0.2028,-0.275093538,0.56643276,0
0.0884,0.449893458,-0.161471782,2
-0.9782,-1.725067529,-0.161471782,2
0.984,-1.725067529,1.294337303,0
-0.0322,-0.275093538,0.56643276,0
-0.7627,-1.000080533,-1.617280868,2
-0.1513,-0.275093538,0.56643276,0
1.7567,0.449893458,2.022241846,0
0.122,1.174880454,1.294337303,0
-0.3442,-0.275093538,-0.889376325,2
0.9349,-0.275093538,0.56643276,0
1.4352,-0.275093538,1.294337303,0
-0.1266,-1.000080533,-0.161471782,2
0.9312,-0.275093538,1.294337303,0
-8.0,-1.000080533,-1.617280868,1
1.0498,3.34984144,1.294337303,0
-0.4907,-1.000080533,-0.889376325,2
1.2984,-0.275093538,1.294337303,0
-0.4024,1.174880454,-0.889376325,2
0.0876,0.449893458,0.56643276,0
-0.6659,1.899867449,-0.889376325,2
1.4591,-0.275093538,1.294337303,0
-0.8455,1.174880454,-0.889376325,2
-0.8049,0.449893458,-1.617280868,2
-0.0649,1.174880454,-0.889376325,2
-0.4728,-1.725067529,-0.889376325,2
0.2802,0.449893458,0.56643276,0
0.215,-1.000080533,-0.889376325,2
-1.0862,-1.725067529,-0.889376325,2
-0.7924,-1.000080533,-0.889376325,2
-0.7549,1.174880454,-0.889376325,2
-8.0,-1.000080533,-0.889376325,1
0.3709,-0.275093538,1.294337303,0
-0.4293,-1.000080533,-0.889376325,2
0.2533,-1.000080533,0.56643276,0
0.2807,-1.000080533,-0.161471782,2
-0.7751,-1.725067529,-0.889376325,2
0.5592,-1.000080533,1.294337303,0
0.3202,1.174880454,0.56643276,0
-1.1259,3.34984144,-0.889376325,2
0.2157,-1.725067529,-0.889376325,2
-0.4726,0.449893458,-0.161471782,2
-0.1636,1.174880454,1.294337303,0
-0.6665,-0.275093538,-0.889376325,2
-0.6333,-1.725067529,-0.889376325,2
1.0303,0.449893458,0.56643276,0
0.0676,-0.275093538,-0.161471782,2
0.1079,-1.000080533,0.56643276,0
-0.2751,-0.275093538,-0.889376325,2
0.101,-0.275093538,-0.889376325,2
0.5366,0.449893458,1.294337303,0
1.1111,1.174880454,0.56643276,0
0.2565,1.174880454,-0.889376325,2
-0.9271,1.174880454,-0.889376325,2
1.9004,1.174880454,2.022241846,0
0.9834,-1.000080533,1.294337303,0
0.0489,-0.275093538,-0.889376325,2
0.1032,1.174880454,-0.161471782,2
-0.8837,-1.725067529,-0.889376325,2
-0.9416,0.449893458,-1.617280868,2
-0.0505,1.174880454,-0.161471782,2
1.8024,1.174880454,2.022241846,0
1.0753,0.449893458,0.56643276,0
0.756,1.899867449,0.56643276,0
0.1516,1.174880454,0.56643276,0
0.3952,-0.275093538,0.56643276,0
0.811,-1.725067529,0.56643276,0
-1.3184,-0.275093538,-0.889376325,2
2.2775,0.449893458,2.022241846,0
0.0301,0.449893458,-0.889376325,2
0.4133,0.449893458,1.294337303,0
0.9223,-1.000080533,0.56643276,0
1.3703,-0.275093538,0.56643276,0
0.1878,-0.275093538,0.56643276,0
0.0462,1.174880454,-0.889376325,2
0.7085,1.174880454,0.56643276,0
-0.281,4.074828436,-0.889376325,2
0.0027,0.449893458,-0.889376325,2
1.0269,-0.275093538,0.56643276,0
