X1PAREDU X1SES
-0.160555586 -0.4726
1.296834694 -0.1636
-0.889250727 -0.6665
-0.889250727 -0.6333
0.568139554 1.0303
-0.160555586 0.0676
0.568139554 0.1079
-0.889250727 -0.2751
-0.889250727 0.101
1.296834694 0.5366
0.568139554 1.1111
-0.889250727 0.2565
-0.889250727 -0.9271
2.025529834 1.9004
1.296834694 0.9834
-0.889250727 0.0489
-0.160555586 0.1032
-0.889250727 -0.8837
-1.617945867 -0.9416
-0.160555586 -0.0505
2.025529834 1.8024
0.568139554 1.0753
0.568139554 0.756
0.568139554 0.1516
0.568139554 0.3952
0.568139554 0.811
-0.889250727 -1.3184
2.025529834 2.2775
-0.889250727 0.0301
1.296834694 0.4133
0.568139554 0.9223
0.568139554 1.3703
0.568139554 0.1878
-0.889250727 0.0462
0.568139554 0.7085
-0.889250727 -0.281
-0.889250727 0.0027
0.568139554 1.0269
-0.889250727 -0.0327
0.568139554 1.0087
-0.889250727 0.1172
-0.160555586 -0.1942
0.568139554 0.0776
-0.160555586 -8
-0.889250727 0.5788
-0.160555586 -0.4381
-0.889250727 -0.3711
2.025529834 2.0292
1.296834694 1.0961
2.025529834 1.9172
-0.889250727 -0.5442
0.568139554 0.1295
1.296834694 -8
-0.889250727 -0.1277
-0.160555586 0.4431
-0.889250727 -0.9952
0.568139554 0.1782
0.568139554 0.2131
0.568139554 0.5769
1.296834694 0.8994
0.568139554 0.2531
-0.889250727 -0.5007
0.568139554 1.3994
0.568139554 0.7785
-0.889250727 -1.3419
1.296834694 1.5235
0.568139554 0.8559
-0.889250727 -0.4813
0.568139554 0.6733
-0.889250727 -0.5089
-0.889250727 -0.1403
1.296834694 0.8973
-0.889250727 -0.2066
-0.160555586 -1.0134
1.296834694 0.7983
-0.160555586 -0.0643
0.568139554 0.6195
1.296834694 1.2556
2.025529834 0.6675
-0.889250727 0.4329
0.568139554 0.5718
-0.889250727 0.0027
0.568139554 0.0839
0.568139554 1.0476
-0.160555586 -0.1181
-0.889250727 -0.0714
1.296834694 1.6415
2.025529834 1.6922
1.296834694 1.0189
0.568139554 1.3209
0.568139554 0.3842
-0.160555586 0.0885
2.025529834 1.4259
-0.889250727 -1.1012
0.568139554 0.3877
-0.889250727 0.3474
-0.889250727 -0.2233
0.568139554 1.1463
-0.889250727 -0.7426
0.568139554 1.0467
-0.889250727 0.4976
1.296834694 0.5518
2.025529834 1.0708
-0.889250727 -0.6231
-0.889250727 0.1653
-0.160555586 1.0639
-0.889250727 -1.0282
-0.889250727 -0.056
0.568139554 0.4073
-0.889250727 -0.755
1.296834694 1.0407
-0.160555586 -0.1639
1.296834694 1.4893
0.568139554 -0.2213
0.568139554 0.7921
-0.889250727 -0.4129
2.025529834 2.007
2.025529834 2.5308
-0.160555586 -0.4794
0.568139554 0.3282
0.568139554 0.6766
-1.617945867 -1.5119
1.296834694 0.4939
-0.160555586 0.0885
-0.160555586 -0.0176
0.568139554 -0.3118
-0.889250727 -1.1739
0.568139554 0.5563
-0.889250727 0.0502
2.025529834 1.6564
0.568139554 0.1658
-0.160555586 -0.2206
0.568139554 1.1228
-1.617945867 -0.9147
0.568139554 -0.5231
-0.160555586 0.1757
-0.889250727 -1.1012
-0.160555586 -0.2903
2.025529834 2.0667
-0.889250727 0.0374
-0.160555586 0.2551
0.568139554 -8
-0.889250727 -0.4024
-0.889250727 -0.6665
2.025529834 2.3852
-0.160555586 -0.1942
1.296834694 1.3874
-0.889250727 -0.6411
-0.160555586 0.2011
2.025529834 2.4948
0.568139554 0.5303
-0.889250727 -0.5983
-0.160555586 0.6088
2.025529834 1.3761
-0.889250727 -0.601
-1.617945867 -0.8871
1.296834694 1.0802
1.296834694 1.0162
-0.889250727 -1.2098
1.296834694 1.1209
1.296834694 1.3874
-0.160555586 0.1757
-0.889250727 -0.5465
0.568139554 1.1247
1.296834694 1.5402
-0.889250727 -0.8371
0.568139554 1.0439
1.296834694 1.6071
0.568139554 1.0698
1.296834694 0.9828
-0.160555586 0.0147
0.568139554 -0.0227
1.296834694 0.8577
-0.889250727 -0.4522
-0.889250727 0.3213
-0.889250727 -0.3594
1.296834694 1.3204
-0.160555586 0.0153
1.296834694 1.0151
-0.889250727 -0.7606
-1.617945867 -8
-0.889250727 0.3765
2.025529834 1.2036
0.568139554 0.9661
-0.160555586 0.2344
0.568139554 0.7237
-0.160555586 -0.6931
-0.889250727 0.3094
-0.160555586 -0.0306
-0.889250727 -0.1121
